open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
175.5,177.93,173.5,174.8,16068700.0,300308.SZ,20240508,中际旭创,NA,CNY
173.9,174.6,168.22,173.18,18207900.0,300308.SZ,20240509,中际旭创,NA,CNY
170.8,172.68,166.68,171.2,15323800.0,300308.SZ,20240510,中际旭创,NA,CNY
172.5,176.0,170.46,171.55,16663900.0,300308.SZ,20240513,中际旭创,NA,CNY
171.86,173.0,164.69,165.43,21466000.0,300308.SZ,20240514,中际旭创,NA,CNY
165.01,171.21,164.5,166.77,15412100.0,300308.SZ,20240515,中际旭创,NA,CNY
171.98,174.58,170.0,170.5,23207500.0,300308.SZ,20240516,中际旭创,NA,CNY
167.8,173.31,164.23,170.58,19908000.0,300308.SZ,20240517,中际旭创,NA,CNY
169.0,178.85,166.5,176.86,24224900.0,300308.SZ,20240520,中际旭创,NA,CNY
176.66,180.3,175.75,177.43,13305200.0,300308.SZ,20240521,中际旭创,NA,CNY
176.0,176.88,172.72,173.17,13940000.0,300308.SZ,20240522,中际旭创,NA,CNY
178.0,179.67,168.88,173.79,22164500.0,300308.SZ,20240523,中际旭创,NA,CNY
172.0,179.74,164.98,165.39,27366500.0,300308.SZ,20240524,中际旭创,NA,CNY
166.11,170.89,165.0,168.39,16695100.0,300308.SZ,20240527,中际旭创,NA,CNY
167.0,167.39,160.1,161.01,24734600.0,300308.SZ,20240528,中际旭创,NA,CNY
165.0,166.0,160.47,161.0,15789800.0,300308.SZ,20240529,中际旭创,NA,CNY
161.1,162.9,158.66,159.97,10958500.0,300308.SZ,20240530,中际旭创,NA,CNY
157.0,162.68,154.54,157.27,14953500.0,300308.SZ,20240531,中际旭创,NA,CNY
161.0,171.71,159.33,168.35,28507500.0,300308.SZ,20240603,中际旭创,NA,CNY
170.0,174.99,169.4,173.0,20440100.0,300308.SZ,20240604,中际旭创,NA,CNY
172.1,173.5,166.96,166.96,14107100.0,300308.SZ,20240605,中际旭创,NA,CNY
123.3,129.92,123.3,125.42,40541000.0,300308.SZ,20240606,中际旭创,NA,CNY
124.1,125.94,118.99,119.51,31591600.0,300308.SZ,20240607,中际旭创,NA,CNY
118.99,121.66,117.39,119.01,19973500.0,300308.SZ,20240611,中际旭创,NA,CNY
119.0,121.33,117.02,119.21,16624900.0,300308.SZ,20240612,中际旭创,NA,CNY
120.87,126.43,119.68,123.7,30630900.0,300308.SZ,20240613,中际旭创,NA,CNY
125.01,140.48,124.08,138.3,58687300.0,300308.SZ,20240614,中际旭创,NA,CNY
141.0,144.94,140.5,142.51,37826600.0,300308.SZ,20240617,中际旭创,NA,CNY
142.58,151.49,142.58,146.91,34457800.0,300308.SZ,20240618,中际旭创,NA,CNY
149.75,150.24,144.2,146.0,24641300.0,300308.SZ,20240619,中际旭创,NA,CNY
146.0,148.96,144.66,144.7,20839800.0,300308.SZ,20240620,中际旭创,NA,CNY
140.5,145.8,140.01,143.0,23695800.0,300308.SZ,20240621,中际旭创,NA,CNY
145.2,146.49,139.55,140.21,20461300.0,300308.SZ,20240624,中际旭创,NA,CNY
135.0,137.6,133.55,134.9,26448900.0,300308.SZ,20240625,中际旭创,NA,CNY
138.0,140.77,137.6,140.0,26628300.0,300308.SZ,20240626,中际旭创,NA,CNY
137.97,140.0,135.8,136.14,17307400.0,300308.SZ,20240627,中际旭创,NA,CNY
136.0,141.84,135.75,137.88,22826300.0,300308.SZ,20240628,中际旭创,NA,CNY
137.35,146.33,137.01,144.9,29649300.0,300308.SZ,20240701,中际旭创,NA,CNY
144.98,147.66,142.7,145.61,22876800.0,300308.SZ,20240702,中际旭创,NA,CNY
144.0,144.45,140.1,143.5,15117500.0,300308.SZ,20240703,中际旭创,NA,CNY
145.8,147.35,143.01,143.01,17276600.0,300308.SZ,20240704,中际旭创,NA,CNY
143.6,144.28,138.71,141.5,18038600.0,300308.SZ,20240705,中际旭创,NA,CNY
146.09,147.0,142.39,144.39,20380700.0,300308.SZ,20240708,中际旭创,NA,CNY
143.89,156.0,142.41,154.33,31006700.0,300308.SZ,20240709,中际旭创,NA,CNY
154.0,157.97,152.58,157.53,23634400.0,300308.SZ,20240710,中际旭创,NA,CNY
159.21,159.68,149.3,153.26,29084200.0,300308.SZ,20240711,中际旭创,NA,CNY
148.11,150.97,146.0,150.12,20031200.0,300308.SZ,20240712,中际旭创,NA,CNY
148.0,151.37,145.3,149.58,17939700.0,300308.SZ,20240715,中际旭创,NA,CNY
149.68,150.48,143.8,148.12,25208600.0,300308.SZ,20240716,中际旭创,NA,CNY
146.98,147.47,140.43,141.71,28992200.0,300308.SZ,20240717,中际旭创,NA,CNY
136.01,140.51,133.25,140.0,33790800.0,300308.SZ,20240718,中际旭创,NA,CNY
